Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,AFG,0,,,,,,,,,,,0.004188346,0.004092114,0.079875079,0.097163515,1.130397821,1.947423443,1.75120215,1.688485431,3.2463056,3.654114383,
Albania,ALB,0,,,,,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,
Algeria,DZA,0,,,,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,
American Samoa,ASM,0,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,0,,,,,,1.526601023,3.050175385,6.886209218,7.635686143,10.53883561,,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81,
Angola,AGO,0,,,,,,0.000775929,0.005673746,0.018453724,0.071964087,0.105045562,0.136013867,0.270376746,0.370682065,0.464814618,1.143366827,1.907647507,2.84,3.05,3.28,3.9,
Antigua and Barbuda,ATG,0,,,,,2.200768802,2.858449577,3.480536838,4.0717165,5.300681138,6.482225737,8.899285515,12.5,17.22864878,24.26654372,34.7164029,62.63886919,70.06,75.03,74.2,80,
Argentina,ARG,0,,0.002992874,0.029527065,0.043705951,0.086277081,0.141954704,0.280339882,0.83076668,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.9272021,25.94663294,28.11262348,34,36,
Armenia,ARM,0,,,,0.009117014,0.052743123,0.094572902,0.111650935,0.128659478,0.970737757,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397,6.207169313,15.3,37,
Aruba,ABW,0,,,,,,2.768382663,,,4.506179098,15.44282295,17.1,18.8,20.8,23,25.4,28,30.9,34.2,37.7,42,
Australia,AUS,0.586159397,1.099529387,1.772249769,1.981363276,2.240454351,2.766742391,3.276794752,16.37656577,30.85256168,40.83096345,46.78382556,52.60563888,,,,63.02693628,66.1479411,69.60650927,71.7210626,74.08290816,75.79436351,
Austria,AUT,0.12968685,0.256446455,0.642465422,0.756740095,1.387356841,1.886064835,6.90525712,9.534496998,15.40896343,22.99394447,33.70129948,39.16335262,36.55737548,42.78644885,54.35206391,57.9922228,63.52923115,69.44517156,72.91265428,73.48831743,72.77715885,
Azerbaijan,AZE,0,,,,0.00144512,0.0020769,0.006421961,0.025431175,0.037781882,0.099928901,0.148899247,0.308590477,5.066009762,,,8.217982517,12.29912693,14.94616369,17.43121254,27.76581924,36.54628595,
"Bahamas, The",BHS,0,,,,,0.960030721,1.746950698,1.362953903,2.33559071,3.764557822,8,11.8,18,20,22,25,26,27,31.54,33.88,43,
Bahrain,BHR,0,,,,,0.346205844,0.843254219,1.646299202,3.218202151,4.720358118,6.153732546,15.03863425,18.05072089,21.55494499,21.45868051,21.30373351,28.24395243,32.91,51.95,53,55,
Bangladesh,BGD,0,,,,,,,0.000751046,0.003684813,0.036170407,0.071039423,0.129807974,0.139920289,0.163877665,0.199036334,0.241637326,1,1.8,2.5,3.1,3.7
Barbados,BRB,0,,,,,0.007752238,0.389464214,0.783428912,1.970249237,2.376247035,3.973678355,11.93645034,27.83632242,39.68962712,49.8,56.07085461,63,64.7,66.5,68.7,70.2
Belarus,BLR,0,,,,0.000489093,0.002944246,0.029541545,0.049444292,0.07451749,0.498457508,1.870217979,4.317675669,8.985587449,,,,16.27377679,19.75325619,23.18848886,27.80224244,32.05045527
Belgium,BEL,0.001004883,0.020016116,0.099637367,0.198409402,0.691999167,0.986093935,2.951224845,4.905289065,7.829154629,13.66766495,29.21260186,31.05804089,45.97590034,49.61832185,53.52848187,59.4423711,63.73603789,68.70321641,70.53280141,75.2432735,78.03821194
Belize,BLZ,0,,,,,0.046196296,0.900316339,1.302286094,2.091139304,4.099731973,5.980833905,,5.629959327,,5.634835698,8.86772773,9.906384783,10.21934716,10.50720419,10.75125612,12.65673919
Benin,BEN,0,,,,,,0.0016931,0.024648796,0.047877304,0.154906741,0.225247851,0.36341789,0.702945595,0.951327115,1.182540965,1.271031439,1.537854346,1.79,1.85,2.24,3.13
Bermuda,BMU,0,,,,,6.805468842,16.18018646,24.23537392,32.2678891,40.27623731,43.4358292,48.00563849,52.56061983,57.07342458,61.55434864,66.02360121,70.47813507,74.9337815,82.88584268,83.76966615,84.65451409
Bhutan,BTN,0,,,,,,,,,0.137571514,0.400944447,0.864628564,1.675802584,2.436912399,3.156984196,3.847106745,4.518317258,5.92,6.55,7.17,13.6
Bolivia,BOL,0,,,,,0.066807568,0.196081174,0.447839036,0.626484062,0.981815187,1.442763585,2.120462534,3.117192947,3.508596401,4.439924601,5.227583957,6.200671255,10.49924432,10.83,14.3,20
Bosnia and Herzegovina,BIH,0,,,,,,0.015125563,0.059425563,0.14367106,0.1943742,1.08296075,1.200526951,2.648267914,3.965036834,15.46897162,21.326701,25.12238569,27.92,34.66,37.74,52
Botswana,BWA,0,0,,,,0.064521041,0.15745423,0.30774685,0.602400929,1.122391474,2.902666622,3.430886787,3.385922351,3.345190174,3.304889253,3.262554036,4.289932975,5.28,6.25,6.15,6
Brazil,BRA,0,0.003288171,0.012946262,0.025498253,0.037672709,0.105138168,0.450789179,0.786079155,1.477874959,2.038732184,2.870685159,4.528494869,9.149425086,13.2075861,19.07367227,21.02274725,28.17838018,30.88,33.83,39.22,40.65
Brunei Darussalam,BRN,0,,,,,1.017080166,3.303349927,4.831057905,6.284742844,7.671041206,8.996284534,12.91776908,15.32987986,19.59500322,29.71560414,36.46639195,42.18634916,44.68,46,49,50
Bulgaria,BGR,0,,,0.002360714,0.019561326,0.119047619,0.718048214,1.203074592,1.816651375,2.858211227,5.335044901,7.648637569,9.10730808,12.06634394,18.14868416,19.96797459,27.05657302,33.55444373,39.50310114,44.74811707,45.92519735
